gauge_id,gauge_name,gauge_country,gauge_lat,gauge_lon
679,OMINATO,JAPAN,41.25,141.15
680,TROMSO,NORWAY,69.65,18.96
681,HARSTAD,NORWAY,68.8,16.55
682,KRISTIANSUND,NORWAY,63.11,7.73
683,BURNIE,AUSTRALIA,-41.05,145.91
684,MURMANSK,RUSSIAN FEDERATION,68.97,33.05
685,SPLIT_RT_MARJANA,CROATIA,43.51,16.39
686,ACAPULCO,MEXICO,16.83,-99.92
687,MURMANSK_II,RUSSIAN FEDERATION,68.97,33.05
688,FULFORD_HARBOUR,CANADA,48.77,-123.45
689,SALINA_CRUZ,MEXICO,16.17,-95.2
690,PROGRESO,MEXICO,21.3,-89.67
692,COATZACOALCOS,MEXICO,18.15,-94.42
693,GUAYMAS,MEXICO,27.92,-110.9
695,LA_PAZ,MEXICO,24.17,-110.35
696,MANGALORE,INDIA,12.85,74.83
701,KAINAN,JAPAN,34.14,135.19
703,HANSTHOLM,DENMARK,57.12,8.6
704,VISE,RUSSIAN FEDERATION,79.5,76.98
707,UEDINENIA,RUSSIAN FEDERATION,77.5,82.2
708,BILLINGA,RUSSIAN FEDERATION,69.88,175.77
710,RUSSKAIA_GAVAN_II,RUSSIAN FEDERATION,76.18,62.58
711,RUSSKAYA_GAVAN,RUSSIAN FEDERATION,76.2,62.58
712,MAZATLAN,MEXICO,23.2,-106.42
721,ASAMUSHI,JAPAN,40.9,140.86
722,YOKOSUKA,JAPAN,35.29,139.65
723,DALIAN,CHINA,38.87,121.68
724,SEMBAWANG,SINGAPORE,1.47,103.83
725,FREEPORT,UNITED STATES,28.95,-95.31
726,CANANEIA,BRAZIL,-25.02,-47.93
727,XIAMEN,CHINA,24.45,118.07
728,IZVESTIA_TSIK,RUSSIAN FEDERATION,75.95,82.95
729,GOLOMIANYI,RUSSIAN FEDERATION,79.55,90.62
730,AION,RUSSIAN FEDERATION,69.93,167.98
731,YANTAI,CHINA,37.53,121.38
732,MORZHOVAIA,RUSSIAN FEDERATION,71.42,67.58
734,ISACHENKO,RUSSIAN FEDERATION,77.15,89.2
735,BUORHAIA,RUSSIAN FEDERATION,71.95,132.77
736,KOSYSTYI,RUSSIAN FEDERATION,73.65,109.73
737,MANZANILLO,MEXICO,19.05,-104.33
738,KRASNOFLOTSKIE,RUSSIAN FEDERATION,78.6,98.83
752,NEZUGASEKI,JAPAN,38.56,139.55
753,KASHIWAZAKI,JAPAN,37.36,138.51
754,LOWESTOFT,UNITED KINGDOM,52.47,1.75
755,MILLPORT,UNITED KINGDOM,55.75,-4.91
756,NAWILIWILI_BAY,UNITED STATES,21.95,-159.35
757,UNALASKA,UNITED STATES,53.88,-166.54
758,HAMMERFEST,NORWAY,70.66,23.68
759,MAGUEYES_ISLAND,PUERTO RICO,17.97,-67.05
760,DUBROVNIK,CROATIA,42.66,18.06
761,ROVINJ,CROATIA,45.08,13.63
762,RODBYHAVN,DENMARK,54.66,11.35
763,LA_CORUNA_II,SPAIN,43.36,-8.4
764,LA_PALOMA,URUGUAY,-34.65,-54.15
765,BIRKENHEAD,UNITED KINGDOM,53.4,-3.02
766,NEWPORT_BAY,UNITED STATES,33.6,-117.88
767,TADIBE-IAHA,RUSSIAN FEDERATION,70.37,72.57
768,ALVARADO,MEXICO,18.77,-95.77
772,MONBETU_I,JAPAN,44.35,143.37
775,SANDWICH_MARINA,UNITED STATES,41.77,-70.5
776,BUZZARDS_BAY,UNITED STATES,41.74,-70.62
786,REEDY_POINT,UNITED STATES,39.56,-75.57
787,NELSON,NEW ZEALAND,-41.26,173.27
788,MONACO,MONACO,43.73,7.42
789,KIEL-HOLTENAU,GERMANY,54.37,10.16
790,TERPIAI-TUMSA,RUSSIAN FEDERATION,73.55,118.67
791,LEIXOES,PORTUGAL,41.18,-8.7
792,VALKARKAI,RUSSIAN FEDERATION,70.08,170.93
795,ENSENADA,MEXICO,31.85,-116.63
796,CIUDAD_DEL_CARMEN,MEXICO,18.63,-91.85
808,SHIMIZU-MINATO,JAPAN,35.01,138.52
809,KOMATSUSHIMA,JAPAN,34.01,134.59
810,MISUMI,JAPAN,32.62,130.45
811,SAKAI,JAPAN,35.55,133.24
812,UNO,JAPAN,34.49,133.95
813,HAKODATE_I,JAPAN,41.78,140.72
814,ABURATSU,JAPAN,31.58,131.41
815,TOSA_SHIMIZU,JAPAN,32.78,132.96
816,WAKAYAMA,JAPAN,34.22,135.15
817,TAN-NOWA,JAPAN,34.34,135.18
818,LORD_HOWE_ISLAND,AUSTRALIA,-31.52,159.07
819,MAR_DEL_PLATA,ARGENTINA,-38.03,-57.52
820,PORT_ELIZABETH,SOUTH AFRICA,-33.95,25.63
821,NORFOLK_ISLAND,NORFOLK ISLAND,-29.06,167.95
822,BRISBANE,AUSTRALIA,-27.37,153.17
